place_id,name,il,district,address,website,rating,review_count,detected,server_header,x_powered_by,status_code,error,first_seen,last_seen,is_new
ChIJUwwDbb93iEARxT9woHZGjII,DentSamsun,Samsun,İlkadım,"çiçek apt, Saitbey, 100. Yıl Blv. No:91, 55030 İlkadım/Samsun, Türkiye",http://www.dentsamsun.com/,5,1,Bilinmiyor / özel kod,LiteSpeed,,200,,2026-07-03,2026-07-06,False
ChIJWUkc55R3iEAReXLLx6HdcUg,Denta Samsun Ağız ve Diş Sağlığı Polikliniği,Samsun,İlkadım,"Kale, İstiklal Cd. No:35 D:1, 55030 İlkadım/Samsun, Türkiye",https://www.dentaclinics.com/tr/,4.5,134,,,,,"HTTPSConnectionPool(host='www.dentaclinics.com', port=443): Max retries exceeded with url: /tr/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1016)')))",2026-07-03,2026-07-06,False
ChIJRz1upLh3iEARI72isU0QZ98,Dilek Diş Medikal Malzemeleri San.Tic.Ltd.Şti,Samsun,İlkadım,"Kale, İstiklal Cd. No:9, 55030 İlkadım/Samsun, Türkiye",http://www.dilekdismedikal.com.tr/,5,2,Bilinmiyor / özel kod,LiteSpeed,PHP/7.3.33,200,,2026-07-03,2026-07-03,False
ChIJsTun-sh3iEAR5XYgDItgT58,Dis Hekimi Tülay Yildirim,Samsun,İlkadım,"19 Mayıs, Kışla Sk. No:13, 55030 Düvencik Köyü/İlkadım/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJHbDn0Il3iEAR626Zk39MhBg,Diş Hekimi Alperen DİRİCAN,Samsun,İlkadım,"Rasathane, Selimiye Sk. Yuvam Apartmanı No:19/9, 55050 İlkadım/Samsun, Türkiye",,5,5,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJeyfqRyV2iEARhSP8gT0n12A,Diş Hekimi Barış Sallı,Samsun,İlkadım,"Hürriyet Mahallesi Osmaniye Caddesi Doktor Omay Apartmanı 41/1 Şehir Kulübü Karşısı, Hürriyet, 55030 İlkadım/Samsun, Türkiye",https://www.dishekimibarissalli.com/oneriler/,4.6,24,Bilinmiyor / özel kod,cloudflare,,403,,2026-07-03,2026-07-06,False
ChIJQ1E1NcJ3iEARwCEXvp9_a8c,Diş Hekimi Berat Yusuf BAŞ,Samsun,İlkadım,"Ulugazi, 614. Sk No:7C D:3, 55030 İlkadım/Samsun, Türkiye",http://www.beratyusufbas.com.tr/,5,1,Bilinmiyor / özel kod,LiteSpeed,,200,,2026-07-03,2026-07-06,False
ChIJQcQ1jtF3iEARvMCE8YC0uRM,Diş Hekimi Berk Kaan Budak,Samsun,İlkadım,"Pazar, Necati Efendi Sk. no:42 kat:1 içkapı no:7, 55020 İlkadım/Samsun, Türkiye",,5,24,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJ6eTXXel3iEARxl77aTyfd7g,Diş Hekimi Burak Kaya Muayenehanesi,Samsun,İlkadım,"Kale, İstiklal Cd. Berkem Apartmanı No:7 Kat:3 Daire:9, 55030 İlkadım/Samsun, Türkiye",,5,1,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJ80qpp7R3iEARYMMsI-9RlNs,Diş Hekimi Canberk USLU,Samsun,İlkadım,"hitit apartmanı, Çiftlik, Lise Cd. no:32/1, 55006 İlkadım/Samsun, Türkiye",http://www.canberkuslu.com/,5,10,Bilinmiyor / özel kod,nginx,,200,,2026-07-03,2026-07-06,False
ChIJv1ikNqB3iEARTWVJ4g7eJYk,Diş Hekimi Dilara Alim,Samsun,İlkadım,"Baran Apartmanı, Bahçelievler, İstiklal Cd. No: 242, 55000 İlkadım/Samsun, Türkiye",http://instagram.com/dtdilaraalim,4.9,170,Bilinmiyor / özel kod,,,429,,2026-07-03,2026-07-06,False
ChIJGRnpxad3iEARJ6n1XiTHGkg,Diş Hekimi Dr. Ayberk Kara,Samsun,İlkadım,"Kılıçdede, Ülkem Sk. 8B D:32, 55060 İlkadım/Samsun, Türkiye",https://ayberkara.com/,5,22,Next.js,cloudflare,Next.js,200,,2026-07-03,2026-07-06,False
ChIJG0H1YLh3iEAR0bpYh6Q9V2g,Diş Hekimi Dr. Selçuk Karahan Ortodonti Uzmanı,Samsun,İlkadım,"Kale, 19 Mayıs Blv. no: 31 D:3, 55030 İlkadım/Samsun, Türkiye",,4.1,17,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJo6Bzygp3iEARjnTJWtliOe4,Diş Hekimi Elif Aygün Büyükbaş,Samsun,İlkadım,"Ulugazi, İstiklal Cd. No:32/6, 55100 İlkadım/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJY_sBbyN3iEARc9AzFU8HsoE,Diş Hekimi Ersu KOCAGÖZ Diş Kliniği,Samsun,İlkadım,"Pazar, Fatih Sultan Mehmet Cd No:59/6, 55070 İlkadım/Samsun, Türkiye",,5,41,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJPxdRue53iEARAp6zgh_PRK4,Diş Hekimi Fikriye Nur Başaran,Samsun,İlkadım,"Karadeniz, Gazi Cd. Birlik Apt D:180/23, 55060 İlkadım/Samsun, Türkiye",,5,3,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJAW-iDGV3iEARyHgpeNfbrwg,Diş Hekimi Gamze Aydın Yüksel,Samsun,İlkadım,"Kale, Afitap Sk. 16/B, 55030 İlkadım/Samsun, Türkiye",https://gamzeaydinyuksel.com/,5,16,WordPress,LiteSpeed,,200,,2026-07-03,2026-07-06,False
ChIJ94jaCyx3iEARdqPXspSvip8,Diş Hekimi Mahmut Kaya Samsun,Samsun,İlkadım,"Zeytinlik, Ruşen Sk. No:36, 55040 İlkadım/Samsun, Türkiye",http://hekimmahmutkaya.com/,4.8,39,Squarespace,Squarespace,,404,,2026-07-03,2026-07-06,False
ChIJU25T3N13iEAReg5EItqh9aQ,Diş Hekimi Mehmet Levent Şükür,Samsun,İlkadım,"Fevzi Çakmak, Lise Cd. no88, 55002 İlkadım/Samsun, Türkiye",,5,26,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJUYIU1Md3iEARejGe-TvzRGg,Diş Hekimi Melih Turgut,Samsun,İlkadım,"İstiklal Cad. Şahinkaya Apt. No:68 D:2, Hürriyet, 55030 İlkadım/Samsun, Türkiye",https://www.melihturgut.com/,4.7,43,"Laravel, React, Wix",Pepyaka,,200,,2026-07-03,2026-07-06,False
ChIJHfKR_fx3iEAR4Q2c1RbP7_Y,Diş Hekimi Mert TEKİN,Samsun,İlkadım,"Ulugazi, İstiklal Cd. No:24, 55030 İlkadım/Samsun, Türkiye",,5,10,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJV0BrQG93iEARRQyIOBAP4Mw,Diş Hekimi Mert Çelebi Gündüz,Samsun,İlkadım,"Hürriyet mahallesi Çiftlik caddesi, Hürriyet, Alp Gündem Sk. atalay apartmanı kat:3 daire:10, 55000 İlkadım/Samsun, Türkiye",https://dtmertgunduz.com/,5,49,WordPress,hcdn,PHP/8.3.31,200,,2026-07-03,2026-07-06,False
ChIJ_w3FKfV3iEARIXPrRSDWSm4,Diş Hekimi Mert Çobanoğlu,Samsun,İlkadım,"Kale, 19 Mayıs Blv. No: 31, 55030 İlkadım/Samsun, Türkiye",https://dtmertcobanoglu.com/,5,9,WordPress,LiteSpeed,PHP/8.1.34,200,,2026-07-03,2026-07-06,False
ChIJO44IWXJ3iEAR8bjyFu02JXo,Diş Hekimi Merve Bahtiyar AKDENİZ,Samsun,İlkadım,"Taşhan apt, İstiklal mah, Çiftlik caddesi no:118B, 55060 İlkadım/Samsun, Türkiye",,5,13,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJx_Ag8Dl3iEAR3hT0KZ1F5R8,Diş Hekimi Merve Yılmaz,Samsun,İlkadım,"Ulugazi, İstiklal Cd. No:32/6, 55020 İlkadım/Samsun, Türkiye",,,,Website yok,,,,,2026-07-03,2026-07-06,False
ChIJd3xBZsx3iEARYy1ZBwIlaXA,Diş Hekimi Mustafa Sabri Ceylan,Samsun,İlkadım,"Çiflik mah, Lise Cd. no 32 kat1, 55060 İlkadım/Samsun, Türkiye",http://www.mustafasabriceylan.com/,4.9,17,WordPress,,PHP/5.6.40,200,,2026-07-03,2026-07-06,False
